,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,4/7,5/7,6/7,7/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7,15/7,16/7,17/7,18/7,19/7,20/7,21/7,22/7,23/7,24/7,25/7,26/7,27/7,28/7,29/7,30/7,31/7,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8,9/8,10/8,11/8,12/8,13/8,14/8,15/8,16/8,17/8,18/8,19/8,20/8,21/8,22/8,23/8,24/8,25/8,26/8,27/8,28/8,29/8,30/8,31/8,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,9/9,10/9,11/9,12/9,13/9,14/9,15/9,16/9,17/9,18/9,19/9,20/9,21/9,22/9,23/9,24/9,25/9,26/9,27/9,28/9,29/9,30/9,1/10,2/10
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,3,2,3,1,2,0,3,3,4,3,3,2,4,0,2,3,3,4,3,4,3,1,9,9,2,6,0,1,1,4,3,9,5,7,1,2,6,8,4,7,4,6,5,6,10,14,10,16,9,4,4,6,15,2,6,8,7,11,17,17,21,24,8,4,19,10,22,15,8,21,6,21,35,33,30,36,25,27,32,51,35,27,49,17,41,25,42,52,51,73,18,29,52,73,90,59,46,26,39,73,64,82,70,60,18,22,67,95,72,77,89,25,32,90,57,84,77,92,30,3,0,301,109,77,68,88,60,16,170,63,97,101,88,91,83,130,107,120,74,53,15,42,101,101,118,103,56,9,29,141,86,117,0,129,14,26,58,74,105,86,76,10,42,91,81,74,82,58,13,37,133,86,73,125,47,12,19,101,76,66
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,3,1,3,4,1,5,5,13,6,11,6,7,18,17,16,25,8,15,18,36,41,35,41,46,15,20,39,29,40,40,45,30,32,61,56,60,67,50,48,46,58,82,189,109,150,61,56,158,122,197,191,176,101,137,227,158,175,245,248,88,112,256,244,251,223,198,67,118,224,324,317,146,166,68,74,147,210,225,54,175,80,56,239,171,274,183,229,51,58,220,142,155,137,202,30,29,232,118,134,168,124,43,31,183,89,145,165,126,9,59,150,133,92,70,0,195,47,132,150,92,119,154,27,41,157,165,150,129,79,16,32,111,140,86,87,42,10,28,104,83,117,95,19,36,4,162,185,161,128,65,25,100,168,140,159,0,157,11,38,152,98,79,73,59,42,25,53,124,101,12,102,5,13,177,162,111,122,59,43,50,71,113,126,129,81,31,13,97,99,80,98
São Paulo,SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,6,7,8,10,8,10,10,16,14,15,23,28,24,31,41,15,29,67,57,68,44,20,28,20,87,83,75,75,63,24,22,56,41,211,167,155,33,125,224,198,128,136,75,41,27,197,194,161,210,192,101,34,206,169,197,186,187,94,41,324,216,195,215,272,118,57,203,289,268,295,257,83,52,327,282,284,282,216,87,43,334,340,283,223,213,113,73,365,389,325,386,262,94,46,434,284,407,207,297,75,60,365,267,321,343,302,82,56,341,313,330,324,260,146,59,417,316,398,339,270,85,56,383,361,362,312,311,89,70,0,713,321,287,239,81,48,337,407,339,287,281,98,37,420,298,455,289,167,72,47,416,276,314,250,237,75,38,407,282,221,279,250,34,36,361,298,232,186,222,40,24,53,391,283,234,229,39,36,321,290,219,206,249,25,32,282,226,185,200,186,45,17,266,231,182,152
Sudeste,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,7,7,9,12,8,13,11,19,18,17,29,34,39,42,53,22,39,87,77,85,72,30,46,46,130,128,117,121,116,41,47,99,73,263,210,209,70,164,301,275,197,222,132,101,82,270,291,369,334,356,172,107,386,320,414,395,378,215,200,580,400,406,504,556,244,192,485,563,561,542,484,179,187,612,657,657,492,432,189,160,533,592,556,316,432,246,167,670,633,680,647,559,199,167,749,515,624,388,548,183,183,649,472,542,592,522,166,150,618,506,584,585,449,200,194,682,528,611,517,358,318,159,606,631,562,540,567,166,168,274,958,583,524,431,139,106,475,866,555,482,413,211,154,559,573,653,507,302,207,175,691,616,599,518,392,163,172,640,541,500,409,522,107,106,565,560,414,390,288,225,75,150,585,474,369,423,128,72,553,559,422,407,394,140,105,401,481,403,429,397,137,62,396,438,344,330
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2,3,2,4,2,5,3,1,4,1,5,2,3,1,4,2,3,0,6,3,4,5,3,3,2,5,1,6,1,3,1,5,2,3,2,1,2,2,2,4,2,1,3,1,3,2,8,4,5,4,3,3,3,3,7,4,8,1,8,9,6,10,12,5,5,6,10,22,5,14,18,14,8,30,22,20,13,9,23,18,29,23,18,25,11,24,14,36,14,43,22,35,32,25,31,44,36,47,38,29,44,57,54,46,46,16,19,30,58,71,59,53,55,18,32,40,71,47,59,55,30,45,78,36,60,46,0,75,53,47,71,60,36,53,26,42,48,27,83,37,33,16,33,52,40,51,41,40,17,39,55,54,50,56,32,14,26,38,45,50,71,20,22,30,65,53,47,49,26,17,36,39,59,36,38,26,14,20,44,63,42,33
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,1,0,1,1,3,2,1,1,0,2,1,0,3,2,0,3,0,0,2,2,3,1,7,3,5,1,7,4,3,9,5,8,3,1,4,2,8,6,0,9,6,6,10,2,7,10,5,6,4,4,17,6,6,4,0,5,6,8,13,13,7,11,7,3,5,10,15,7,14,7,6,10,14,13,19,17,7,4,24,19,23,0,40,14,5,23,32,22,27,27,25,12,32,32,34,45,49,24,19,33,65,41,40,25,63,23,33,64,48,59,38,60,17,40,69,70,75,51,71,27,42,83,64,68,51,64,14,57,55,68,44,47,16,42,55,78,59,67,45,53,16,40,59,74,40,48,62,10,40,66,42,47,60,64,25,17,44,82,47,68,42,16,25,94,42,52,50,53,13,25,63,43,29,30,41,12,21,76,58,33,37
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,0,3,0,5,0,1,4,2,1,3,3,0,2,2,1,1,1,1,3,0,2,2,3,0,0,1,1,0,2,2,4,0,0,3,4,4,0,1,1,4,4,0,5,1,2,2,2,6,3,4,2,3,2,4,12,5,5,3,2,7,3,2,4,4,3,7,5,0,8,5,2,5,2,2,4,13,4,6,12,3,9,10,7,16,10,9,6,8,12,17,6,15,14,7,10,13,13,13,15,12,26,12,20,17,35,19,58,16,23,9,44,27,47,32,36,27,17,36,42,41,59,52,21,21,39,71,51,43,19,26,96,78,18,59,46,25,30,42,44,35,42,35,32,15,24,50,26,28,23,25,17,25,41,24,27,24,24,5,17,20,18,23,14,18,14,14,26,24,16,18,8,4,17,15,15,18,19,13,11,18,21,11,24,9
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2,0,2,3,3,9,2,6,7,10,6,5,8,1,9,5,4,5,7,3,9,0,8,7,9,8,4,11,6,10,4,15,9,6,10,13,14,10,3,6,5,14,12,4,16,8,11,13,7,15,21,13,13,11,9,24,21,14,16,7,15,14,19,24,23,21,26,19,13,11,28,42,14,33,27,22,22,57,39,45,42,19,36,52,55,62,28,74,31,37,49,85,42,85,63,67,54,70,76,91,96,108,88,60,97,139,130,105,129,95,65,72,166,146,165,123,151,62,89,145,183,163,169,178,78,108,200,171,179,140,83,115,206,180,157,163,129,94,98,139,170,121,192,117,118,47,97,161,140,119,112,127,44,104,162,120,124,140,120,44,60,102,145,120,153,80,52,69,185,119,115,117,87,34,78,117,117,83,87,80,37,59,141,132,99,79
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,2,0,3,2,0,1,1,0,0,1,2,0,3,0,4,0,0,0,1,0,1,0,1,0,1,0,2,0,1,2,0,0,1,1,2,2,3,2,2,2,3,4,1,3,7,6,5,7,6,5,9,10,10,9,9,12,8,8,1,6,14,5,6,6,6,0,22,20,18,8,11,11,15,29,17,14,17,8,19,26,26,20,14,23,5,11,11,28,33,11,12,28,28,27,41,34,22,33,15,31,28,30,41,36,23,15,10,27,46,18,42,26,31,33,31,52,28,25,25,21,33,23,26,0,79,31,30,19,31,53,55,35,30,23,18,66,55,51,52,42,15,17,42,28,55,26,15,-190,219,52,52,36,32,40,19,10,10,43,50,30,24,16,16,31,40,30,22,15,11,14,35,34,17,16,11,8,5,15,21,31,21,15
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0,1,2,4,1,0,0,1,0,2,0,1,0,2,2,1,1,0,1,1,0,2,0,1,0,0,8,6,0,5,-2,0,2,3,9,3,3,2,1,3,0,5,7,8,2,0,1,8,4,7,4,3,2,3,24,4,9,3,5,1,0,7,8,1,5,14,3,15,20,6,12,17,14,8,8,18,34,21,25,20,6,2,37,29,42,41,25,10,33,47,32,36,38,37,5,3,28,47,59,43,50,13,14,48,39,69,70,46,14,8,73,81,10,92,30,11,19,75,39,58,58,62,12,3,76,36,78,73,0,36,14,78,61,83,89,66,30,15,81,49,74,41,57,15,19,118,50,83,55,50,7,18,9,47,96,90,66,17,10,75,50,60,97,43,17,12,64,37,91,80,64,5,24,77,66,51,95
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,2,2,1,0,1,3,3,1,0,2,3,0,2,3,0,3,1,2,3,5,5,1,4,5,4,6,6,6,8,13,7,19,11,14,15,17,17,7,10,40,15,28,26,25,24,17,42,19,18,47,36,19,11,41,40,35,46,52,19,20,36,46,58,43,18,38,20,69,33,61,37,27,52,16,53,38,10,65,14,45,44,33,61,56,30,37,21,14,24,29,63,24,29,32,67,32,24,40,34,21,28,16,37,36,35,18,15,26,40,20,38,28,29,19,26,35,30,29,28,20,14,25,28,32,33,19,19,19,25,17,32,22,22,14,17,14,24,18,12,26,19,6,22,20,14,22,19
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,2,1,3,0,3,2,3,0,3,1,3,2,2,8,1,5,4,3,4,3,1,9,6,16,7,3,5,6,6,2,10,7,8,6,10,6,8,12,13,6,6,20,9,9,15,11,13,14,9,14,15,19,13,15,17,11,10,16,23,11,17,14,21,14,12,21,7,28,14,17,11,18,10,26,16,11,18,16,17,23,17,11,11,27,14,11,25,14,13,4,17,20,17,11,20,10,20,21,16,11,15,14,10,7,12,13,13,17,15,14,15,15,10,8,15
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,3,2,1,5,3,2,2,2,3,4,5,2,0,6,0,6,0,2,1,3,4,3,2,1,4,3,0,4,0,3,3,1,8,7,1,9,2,5,5,6,13,10,10,5,4,13,9,11,16,17,7,12,12,20,17,21,21,13,15,9,34,24,20,16,19,20,8,48,41,34,31,42,34,39,62,63,44,63,51,54,60,69,97,59,70,75,57,35,77,112,99,104,106,93,84,114,108,106,139,102,62,75,88,163,136,139,115,56,99,130,119,158,121,153,74,98,178,156,111,192,94,96,80,126,73,182,175,127,77,80,217,137,149,164,64,103,122,166,160,189,176,125,78,94,167,140,155,107,-87,264,108,232,130,155,148,103,44,57,97,149,176,144,121,62,86,153,128,115,149,82,58,68,134,85,132,134,106,30,76,133,121,102,144
